Block,gen[B],kill[B],in[B],out[B]
B0,"d2, d26, d3, d4, d5","d1, d12, d13, d14, d17, d18, d19, d20, d22, d24, d29, d6, d8, d9",,"d2, d26, d3, d4, d5"
B1,,,"d2, d26, d29, d3, d4, d5, d7","d2, d26, d29, d3, d4, d5, d7"
B2,"d29, d7","d1, d12, d17, d18, d24, d26, d6, d8, d9","d2, d26, d29, d3, d4, d5, d7","d2, d29, d3, d4, d5, d7"
B3,,,"d2, d26, d29, d3, d4, d5, d7","d2, d26, d29, d3, d4, d5, d7"
B4,d24,"d1, d12, d17, d18, d26, d29, d6, d8, d9","d10, d11, d2, d24, d26, d29, d3, d4, d5, d7","d10, d11, d2, d24, d3, d4, d5, d7"
B5,"d10, d11","d15, d16, d21, d23","d10, d11, d2, d24, d3, d4, d5, d7","d10, d11, d2, d24, d3, d4, d5, d7"
B6,,,"d10, d11, d2, d24, d3, d4, d5, d7","d10, d11, d2, d24, d3, d4, d5, d7"
B7,,,"d10, d11, d2, d24, d3, d4, d5, d7","d10, d11, d2, d24, d3, d4, d5, d7"
B8,,,"d10, d11, d2, d24, d3, d4, d5, d7","d10, d11, d2, d24, d3, d4, d5, d7"
B9,d12,"d1, d17, d18, d24, d26, d29, d6, d8, d9","d10, d11, d12, d13, d14, d16, d2, d24, d3, d4, d5, d7","d10, d11, d12, d13, d14, d16, d2, d3, d4, d5, d7"
B10,d13,"d2, d20, d22","d10, d11, d12, d13, d14, d16, d2, d3, d4, d5, d7","d10, d11, d12, d13, d14, d16, d3, d4, d5, d7"
B11,,,"d10, d11, d12, d13, d14, d16, d3, d4, d5, d7","d10, d11, d12, d13, d14, d16, d3, d4, d5, d7"
B12,"d14, d16","d10, d15, d3","d10, d11, d12, d13, d14, d16, d3, d4, d5, d7","d11, d12, d13, d14, d16, d4, d5, d7"
B15,,,"d10, d11, d12, d13, d14, d16, d2, d3, d4, d5, d7","d10, d11, d12, d13, d14, d16, d2, d3, d4, d5, d7"
B16,d24,"d1, d12, d17, d18, d26, d29, d6, d8, d9","d10, d11, d12, d13, d14, d16, d2, d24, d3, d4, d5, d7","d10, d11, d13, d14, d16, d2, d24, d3, d4, d5, d7"
B17,,,"d10, d11, d13, d14, d16, d2, d24, d3, d4, d5, d7","d10, d11, d13, d14, d16, d2, d24, d3, d4, d5, d7"
B18,,,"d10, d11, d13, d14, d16, d2, d24, d3, d4, d5, d7","d10, d11, d13, d14, d16, d2, d24, d3, d4, d5, d7"
B19,,,"d10, d11, d13, d14, d16, d2, d24, d3, d4, d5, d7","d10, d11, d13, d14, d16, d2, d24, d3, d4, d5, d7"
B20,,,"d10, d11, d13, d14, d16, d2, d24, d3, d4, d5, d7","d10, d11, d13, d14, d16, d2, d24, d3, d4, d5, d7"
B21,d18,"d1, d12, d17, d24, d26, d29, d6, d8, d9","d10, d11, d13, d14, d16, d18, d19, d2, d20, d22, d23, d24, d3, d4, d5, d7","d10, d11, d13, d14, d16, d18, d19, d2, d20, d22, d23, d3, d4, d5, d7"
B22,"d19, d20","d13, d2, d22, d4","d10, d11, d13, d14, d16, d18, d19, d2, d20, d22, d23, d3, d4, d5, d7","d10, d11, d14, d16, d18, d19, d20, d23, d3, d5, d7"
B23,,,"d10, d11, d14, d16, d18, d19, d20, d21, d22, d23, d3, d5, d7","d10, d11, d14, d16, d18, d19, d20, d21, d22, d23, d3, d5, d7"
B24,"d21, d22","d11, d13, d2, d20, d23","d10, d11, d14, d16, d18, d19, d20, d21, d22, d23, d3, d5, d7","d10, d14, d16, d18, d19, d21, d22, d3, d5, d7"
B25,d23,"d11, d21","d10, d11, d14, d16, d18, d19, d20, d21, d22, d23, d3, d5, d7","d10, d14, d16, d18, d19, d20, d22, d23, d3, d5, d7"
B26,,,"d10, d11, d13, d14, d16, d18, d19, d2, d20, d22, d23, d3, d4, d5, d7","d10, d11, d13, d14, d16, d18, d19, d2, d20, d22, d23, d3, d4, d5, d7"
B27,d24,"d1, d12, d17, d18, d26, d29, d6, d8, d9","d10, d11, d13, d14, d16, d18, d19, d2, d20, d22, d23, d24, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d24, d3, d4, d5, d7"
B28,,,"d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d24, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d24, d3, d4, d5, d7"
B29,,,"d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d24, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d24, d3, d4, d5, d7"
B30,"d25, d26","d1, d12, d17, d18, d24, d27, d28, d29, d6, d8, d9","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d24, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d3, d4, d5, d7"
B31,,,"d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7"
B32,,,"d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7"
B33,d27,"d25, d28","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d26, d27, d29, d3, d4, d5, d7"
B34,,,"d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d26, d27, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d26, d27, d29, d3, d4, d5, d7"
B35,d28,"d25, d27","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d26, d27, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d26, d28, d29, d3, d4, d5, d7"
B36,d29,"d1, d12, d17, d18, d24, d26, d6, d8, d9","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d28, d29, d3, d4, d5, d7"
B37,,,"d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7"
B38,,,"d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7"
B39,,,"d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7"
B40,,,"d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7"
B41,,,"d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7"
